O,D,Ton
1,2,2
1,3,2
1,4,3
1,5,72
1,6,1
1,7,1
1,8,2
1,11,4
1,12,2
1,13,4
1,15,16
1,16,7
1,18,3
1,19,2
1,21,25
1,23,1
1,25,2
1,26,1
1,28,9
1,29,1
1,31,2
1,32,9
1,33,14
1,34,1
1,36,1
1,37,1
1,39,1
1,40,2
1,42,8
1,43,5
1,46,12
1,47,1
1,49,1
1,50,1
1,53,2
1,54,3
1,55,12
1,56,28
1,57,2
1,58,1
1,59,6
1,62,10
1,63,27
1,64,3
1,65,3
1,66,7
1,67,90
1,68,6
1,70,5
1,71,3
1,72,9
1,73,10
1,74,3
1,75,2
1,76,7
1,78,5
1,79,3
1,81,6
1,82,1
1,84,3
1,85,2
1,90,1
1,91,1
1,94,1
1,98,5
1,99,44
1,100,2
1,101,1
1,102,6
1,103,4
1,104,4
1,105,1
1,106,6
1,107,1
1,108,1
1,110,15
1,112,8
1,113,1
1,118,5
1,122,2
1,123,8
1,125,2
1,126,2
1,129,6
1,133,4
1,136,2
1,139,1
1,140,12
1,141,3
1,154,2
1,155,2
1,157,6
1,158,3
1,160,1
1,162,4
1,163,2
1,164,2
1,165,7
1,166,1
1,167,3
1,171,1
1,175,1
1,180,4
1,183,1
1,187,1
1,189,1
1,192,1
1,193,2
1,194,1
1,195,1
1,196,3
1,197,1
1,198,3
2,1,8
2,3,13
2,4,8
2,5,224
2,6,7
2,7,5
2,8,4
2,9,1
2,10,5
2,11,13
2,12,7
2,13,15
2,14,13
2,15,36
2,16,37
2,17,3
2,18,31
2,19,8
2,20,1
2,21,94
2,25,16
2,26,14
2,27,1
2,28,34
2,29,3
2,30,6
2,32,21
2,33,12
2,34,3
2,35,2
2,37,1
2,39,4
2,40,10
2,41,4
2,42,12
2,43,19
2,44,12
2,45,1
2,46,5
2,49,2
2,52,4
2,54,1
2,55,75
2,56,91
2,57,1
2,58,9
2,59,18
2,62,24
2,63,59
2,64,27
2,65,6
2,66,3
2,67,259
2,68,13
2,69,2
2,70,13
2,71,15
2,72,16
2,73,20
2,74,7
2,75,9
2,76,5
2,78,3
2,79,27
2,80,2
2,81,16
2,82,7
2,83,2
2,84,20
2,85,4
2,87,2
2,88,1
2,90,2
2,91,2
2,92,1
2,94,1
2,95,1
2,97,3
2,98,8
2,99,116
2,100,21
2,101,5
2,102,7
2,103,1
2,104,7
2,105,4
2,106,8
2,107,4
2,109,1
2,110,20
2,111,2
2,112,3
2,113,10
2,114,2
2,117,3
2,118,14
2,122,4
2,123,14
2,124,16
2,125,9
2,126,2
2,127,1
2,128,1
2,129,9
2,132,1
2,133,6
2,134,1
2,137,5
2,140,40
2,141,5
2,142,3
2,143,3
2,145,5
2,146,1
2,147,1
2,148,1
2,152,3
2,153,4
2,154,1
2,155,14
2,156,1
2,158,5
2,160,4
2,161,1
2,163,3
2,164,3
2,165,17
2,166,6
2,167,8
2,171,1
2,172,5
2,174,5
2,175,14
2,176,2
2,177,8
2,179,1
2,180,2
2,181,1
2,183,1
2,187,2
2,189,2
2,191,9
2,192,10
2,193,1
2,194,1
2,195,6
