O,D,Ton
1,2,2
1,5,6
1,7,8
1,8,3
1,9,12
1,11,6
1,12,36
1,13,3
1,14,5
1,15,11
1,16,12
1,17,2
1,18,4
1,19,17
1,20,2
1,21,25
1,22,14
1,23,15
1,24,8
1,25,17
1,26,2
1,27,24
1,28,4
1,29,12
1,30,9
1,31,10
1,32,10
1,33,4
1,34,35
1,35,2
1,36,3
1,38,10
1,40,1
1,41,1
1,43,4
1,44,7
1,45,2
1,46,3
1,47,3
1,49,47
1,51,9
1,52,22
1,53,15
1,54,14
1,55,5
1,56,2
1,57,1
1,58,4
1,59,2
1,60,3
1,61,4
1,63,2
1,66,4
1,68,9
1,69,4
1,70,3
1,72,3
1,73,4
1,74,12
1,75,6
1,76,7
1,77,17
1,78,26
1,79,1
1,80,207
1,81,18
1,82,14
1,83,1
1,85,2
1,86,1
1,87,5
1,88,2
1,89,3
1,90,1
1,91,2
1,92,5
1,94,9
1,95,2
1,96,11
1,97,29
1,98,7
1,99,1
1,100,3
1,101,10
1,102,12
1,104,2
1,105,6
1,106,8
1,107,7
1,108,8
1,109,4
1,110,3
1,111,19
1,112,2
1,114,9
1,115,5
1,116,11
1,118,3
1,119,2
1,120,4
1,122,3
1,123,1
1,126,12
1,127,5
1,128,7
1,130,10
1,131,7
1,132,2
1,134,8
1,135,13
1,136,1
1,137,5
1,138,1
1,139,1
1,140,26
1,141,34
1,142,22
1,144,45
1,145,235
1,146,31
1,147,4
1,148,9
1,149,10
1,150,10
1,151,17
1,152,138
1,153,16
1,154,7
1,155,170
1,156,28
1,157,3
1,158,4
1,159,38
1,160,3
1,162,32
1,163,4
1,164,5
1,165,1
1,166,13
1,167,4
1,168,1
1,169,1
1,170,27
1,171,2
1,173,2
1,175,7
1,177,1
1,179,20
1,180,5
1,181,9
1,182,12
1,183,2
1,184,2
1,185,1
1,186,11
1,187,2
1,188,7
1,190,5
1,192,5
1,193,3
1,194,6
2,12,2
2,13,3
2,14,2
2,15,3
2,18,3
2,19,14
2,22,1
2,25,2
2,27,2
2,28,1
2,30,2
2,31,9
2,32,3
2,33,1
2,34,5
2,35,2
2,36,2
2,37,1
2,38,2
2,39,1
2,43,2
2,44,1
2,48,1
2,49,6
2,51,2
2,52,6
2,53,1
2,55,2
2,58,1
2,59,1
2,61,1
2,63,1
2,69,1
2,71,6
2,72,1
2,73,2
2,74,8
2,75,3
2,76,2
2,77,6
2,78,3
2,79,1
2,80,55
2,81,12
2,82,1
2,87,2
2,88,1
2,89,3
2,91,2
2,94,7
2,96,1
2,97,13
2,98,6
2,103,7
2,105,1
2,106,1
2,107,2
2,110,2
2,111,12
2,114,7
2,116,1
2,119,2
2,122,3
2,123,1
2,126,3
2,127,4
2,128,5
2,130,1
2,131,2
2,132,3
2,135,1
2,137,1
2,140,20
2,141,18
2,142,12
2,143,2
2,144,23
2,145,75
2,146,11
2,147,6
2,148,5
2,150,11
2,152,57
2,153,9
2,154,2
2,155,55
2,156,20
2,157,1
2,158,5
2,159,15
2,162,36
2,163,6
2,164,5
2,165,1
2,167,3
2,168,1
2,169,6
2,170,6
2,171,1
2,173,3
2,175,1
2,179,4
2,180,18
2,181,8
2,182,13
2,183,4
2,184,1
2,189,1
2,191,2
2,192,7
2,194,6
3,2,2
3,8,1
3,12,6
3,13,1
3,14,1
3,18,1
3,21,5
3,24,1
3,25,2
3,27,1
3,30,1
3,31,4
3,32,1
3,33,1
3,34,5
3,35,6
3,40,2
3,43,1
3,45,1
3,49,4
3,51,3
3,53,1
3,55,1
3,64,1
3,73,3
3,74,4
3,77,4
3,78,4
3,79,2
3,80,41
3,82,2
3,87,3
3,88,1
3,90,1
3,92,1
3,93,2
3,94,3
3,96,4
3,97,13
3,101,1
3,102,4
3,109,1
3,112,4
3,115,3
3,116,1
3,120,1
3,124,1
3,127,1
3,130,4
3,131,3
3,132,3
3,135,1
3,139,1
3,140,9
3,141,31
3,142,5
3,144,11
3,145,98
3,146,3
3,148,5
3,149,1
3,150,1
3,152,33
3,153,3
3,154,1
3,155,37
3,156,6
3,158,3
3,159,8
3,161,1
3,162,15
3,163,5
3,165,6
3,167,1
3,168,2
3,170,6
3,172,2
3,173,1
3,175,2
3,177,1
3,178,1
3,179,1
3,180,4
3,182,6
3,183,3
3,186,1
3,188,3
3,189,1
3,190,2
3,193,1
3,194,2
4,1,1
4,5,1
4,7,2
4,8,1
4,9,15
4,11,1
4,12,28
4,14,5
4,15,10
4,17,2
4,18,2
4,19,5
4,21,7
4,22,2
4,23,6
4,24,6
4,25,5
4,27,17
4,28,1
4,29,7
4,31,3
4,32,8
4,33,1
4,34,15
4,35,5
4,37,1
4,38,1
4,40,1
4,42,6
4,43,5
4,44,3
4,47,3
4,49,17
4,50,4
4,51,11
4,52,2
4,53,5
4,54,3
4,55,6
4,58,2
4,59,2
4,60,5
4,61,3
4,63,3
4,65,2
4,66,1
4,67,3
4,71,1
4,72,4
4,73,2
4,74,2
4,76,6
4,77,5
4,78,12
4,79,3
4,80,127
4,81,6
4,82,13
4,83,3
4,87,1
4,88,1
4,89,3
4,91,1
4,92,4
4,93,4
4,94,8
4,96,2
4,97,9
4,98,3
4,99,2
4,101,4
4,102,8
4,104,2
4,105,2
4,106,1
4,109,1
4,110,3
4,111,10
4,112,1
4,114,3
4,115,4
4,117,1
4,119,1
4,120,1
4,121,1
4,123,1
4,124,1
4,127,4
4,128,3
4,130,3
4,131,2
4,132,3
4,134,2
4,137,1
4,138,5
4,140,14
4,141,19
4,142,8
4,144,29
4,145,130
4,146,9
4,147,3
4,148,9
4,149,4
4,151,4
4,152,92
4,153,4
4,154,1
4,155,92
4,156,8
4,157,1
4,159,21
4,160,1
4,161,1
4,162,21
4,163,4
4,164,3
4,165,1
4,166,4
4,167,1
4,168,2
4,170,3
4,171,1
4,172,1
4,173,1
4,175,1
4,176,1
4,177,4
4,179,3
4,180,8
4,181,12
4,182,2
4,183,2
4,184,2
4,186,1
4,187,3
4,188,7
4,192,2
5,4,5
5,6,3
5,7,2
5,8,5
5,9,5
5,12,99
5,13,2
5,14,3
5,15,2
5,16,1
5,17,5
5,18,1
5,19,2
5,21,12
5,23,4
5,25,5
5,26,4
5,27,2
5,28,1
5,29,4
5,31,4
5,32,3
5,33,4
5,34,20
5,35,1
5,36,1
5,43,1
5,44,3
5,45,5
5,47,2
5,49,25
5,51,13
5,52,6
5,53,7
5,55,1
5,57,2
5,59,2
5,60,1
5,61,5
5,65,1
5,67,5
5,68,1
5,69,5
5,70,3
5,71,5
5,74,7
5,75,2
5,76,2
5,77,8
5,78,14
5,79,7
5,80,94
5,81,13
5,82,10
5,83,2
5,84,8
5,85,4
5,87,1
5,88,1
5,92,8
5,93,1
5,94,6
5,95,1
5,96,8
5,97,17
5,98,5
5,101,2
5,103,2
5,106,2
5,107,3
5,108,4
5,109,4
5,110,3
5,111,5
5,116,1
5,118,2
5,119,1
5,120,4
5,122,3
5,123,1
5,124,3
5,125,1
5,126,7
5,127,11
5,128,3
5,130,2
5,131,9
5,132,6
5,135,8
5,136,4
5,137,10
5,138,4
5,140,15
5,141,34
5,142,4
5,143,2
5,144,36
5,145,151
5,146,8
5,147,6
5,148,3
5,151,3
5,152,87
5,153,8
5,155,54
5,156,11
5,157,1
5,158,1
5,159,16
5,162,32
5,163,2
5,164,1
5,165,3
5,166,6
5,167,8
5,168,1
5,169,2
5,170,9
5,171,1
5,172,1
5,173,1
5,174,1
5,175,6
5,176,1
5,177,1
5,179,5
5,180,11
5,181,6
5,182,4
5,183,3
5,184,2
5,186,1
5,187,2
5,190,1
5,191,3
5,192,6
5,194,1
6,1,1
6,4,5
6,5,7
6,7,7
6,9,11
6,10,1
6,11,3
6,12,114
6,15,4
6,16,1
6,18,1
6,19,3
6,21,4
6,22,7
6,23,4
6,25,5
6,26,1
6,27,3
6,28,1
6,31,3
6,32,3
6,34,8
6,35,8
6,36,4
6,37,3
6,42,2
6,44,1
6,45,3
6,46,1
6,49,16
6,51,6
6,52,3
6,53,8
6,55,2
6,58,1
6,61,1
6,62,1
6,68,4
6,69,4
6,70,2
6,72,1
6,74,4
6,76,1
6,77,7
6,78,11
6,79,2
6,80,77
6,81,12
6,82,7
6,84,6
6,85,1
6,88,1
6,91,2
6,93,1
6,94,6
6,95,1
6,96,3
6,97,21
6,100,2
6,101,7
6,102,5
6,103,3
6,104,5
6,105,1
6,106,3
6,107,3
6,108,2
6,110,4
6,111,22
6,113,5
6,115,5
6,116,2
6,117,1
6,118,7
6,119,3
6,120,1
6,121,2
6,122,2
6,123,6
6,124,3
6,126,2
6,127,10
6,128,3
6,129,1
6,130,5
6,131,9
6,132,9
6,135,4
6,136,4
6,140,11
6,141,26
6,142,8
6,144,11
6,145,120
6,146,7
6,147,2
6,148,1
6,152,71
6,153,2
6,154,3
6,155,66
6,156,5
6,157,2
6,158,5
6,159,18
6,160,1
6,162,23
6,163,2
6,164,1
6,166,4
6,167,3
6,169,4
6,170,12
6,171,2
6,173,2
6,175,1
6,176,1
6,179,10
6,180,4
6,181,13
6,182,4
6,183,3
6,185,1
6,186,8
6,188,4
6,189,1
6,191,2
6,192,2
6,193,3
6,194,3
7,1,2
7,6,2
7,8,2
7,9,6
7,12,28
7,15,1
7,17,2
7,19,4
7,21,12
7,23,3
7,24,1
7,25,2
7,26,2
7,29,3
7,31,1
7,32,8
7,33,1
7,34,6
7,35,3
7,36,5
7,43,1
7,47,1
7,49,16
7,51,6
7,52,8
7,53,1
7,55,10
7,58,1
7,60,2
7,63,2
7,64,6
7,68,1
7,69,1
7,72,1
7,73,4
7,75,2
7,77,4
7,78,7
7,79,6
7,80,56
7,81,12
7,82,2
7,83,2
7,84,1
7,87,1
7,89,1
7,94,8
7,97,7
7,98,1
7,100,1
7,101,2
7,102,7
7,103,1
7,109,1
7,111,5
7,113,2
7,114,1
7,115,3
7,116,1
7,117,1
7,118,1
7,119,1
7,120,2
7,124,1
7,126,1
7,127,5
7,128,4
7,129,1
7,130,9
7,131,2
7,132,3
7,135,1
7,137,3
7,138,1
7,140,4
7,141,10
7,142,2
7,144,7
7,145,54
7,146,3
7,147,1
7,148,4
7,149,1
7,151,1
7,152,33
7,153,3
7,155,40
7,156,4
7,158,5
7,159,22
7,162,5
7,164,7
7,170,4
7,171,2
7,173,1
7,176,1
7,177,1
7,179,3
7,182,2
7,186,4
7,190,1
7,192,1
7,193,1
8,1,1
8,4,8
8,7,8
8,9,12
8,10,1
8,11,4
8,12,29
8,13,1
8,14,7
8,15,8
8,16,1
8,17,4
8,18,1
8,19,5
8,21,9
8,22,17
8,23,5
8,24,1
8,25,15
8,27,11
8,28,11
8,29,8
8,30,9
8,31,5
8,32,11
8,33,7
8,34,18
8,35,4
8,36,3
8,38,5
8,42,2
8,43,2
8,44,4
8,45,18
8,47,4
8,48,11
8,49,33
8,50,1
8,51,14
8,52,8
8,53,8
8,54,13
8,55,1
8,56,3
8,60,1
8,61,7
8,62,9
8,63,1
8,65,4
8,66,7
8,67,1
8,68,6
8,69,2
8,70,3
8,71,10
8,72,4
8,73,6
8,74,19
8,75,8
8,76,11
8,77,1
8,78,33
8,80,192
8,81,21
8,82,21
8,83,5
8,84,10
8,86,4
8,87,8
8,88,7
8,89,14
8,90,2
8,91,3
8,92,9
8,93,1
8,94,13
8,95,6
8,96,8
8,97,59
8,98,20
8,99,12
8,101,15
8,102,19
8,103,3
8,104,4
8,105,2
8,106,6
8,107,6
8,108,2
8,110,2
8,111,18
8,112,10
8,114,5
8,115,6
8,116,2
8,117,1
8,118,2
8,119,2
8,120,3
8,121,4
8,122,4
8,123,1
8,124,4
8,126,11
8,127,19
8,128,6
8,129,1
8,130,10
8,131,11
8,132,26
8,134,6
8,135,12
8,136,4
8,137,5
8,138,16
8,140,50
8,141,40
8,142,19
8,143,13
8,144,52
8,145,234
8,146,26
8,147,5
8,148,12
8,149,14
8,150,12
8,151,26
8,152,142
8,153,14
8,154,8
8,155,131
8,156,29
8,157,5
8,158,19
8,159,60
8,160,9
8,161,3
8,162,53
8,163,6
8,164,9
8,165,8
8,166,17
8,167,12
8,168,1
8,169,5
8,170,38
8,171,1
8,172,4
8,173,9
8,174,4
8,175,16
8,176,7
8,177,3
8,178,1
8,179,29
8,180,36
8,181,23
8,182,14
8,183,10
8,184,1
8,185,6
8,186,3
8,187,4
8,188,4
8,189,1
8,192,4
8,193,4
8,194,8
9,1,1
9,4,2
9,5,2
9,6,2
9,7,6
9,8,4
9,11,1
9,12,43
9,13,2
9,14,2
9,15,4
9,16,2
9,17,1
9,18,1
9,21,17
9,23,6
9,24,2
9,25,10
9,27,13
9,28,4
9,29,6
9,30,8
9,31,3
9,32,5
9,34,23
9,35,12
9,36,8
9,38,2
9,39,1
9,43,3
9,44,3
9,45,1
9,46,1
9,48,3
9,49,40
9,51,19
9,52,14
9,53,24
9,54,7
9,55,4
9,57,3
9,58,1
9,60,2
9,61,2
9,63,2
9,64,2
9,65,2
9,67,3
9,68,2
9,69,2
9,70,2
9,71,5
9,73,4
9,74,8
9,75,5
9,76,7
9,77,19
9,78,47
9,79,1
9,80,177
9,81,11
9,82,7
9,83,1
9,84,2
9,85,3
9,86,2
9,88,3
9,89,2
9,92,3
9,94,11
9,95,1
9,96,1
9,97,38
9,98,4
9,100,1
9,101,10
9,102,10
9,103,5
9,104,1
9,105,4
9,106,3
9,107,9
9,108,14
9,109,5
9,110,6
9,111,10
9,112,1
9,113,6
9,114,3
9,115,6
9,118,3
9,119,4
9,120,5
9,121,2
9,122,3
9,123,2
9,126,8
9,127,5
9,129,1
9,130,2
9,131,5
9,132,12
9,133,1
9,134,1
9,135,7
9,136,2
9,137,1
9,138,1
9,139,1
9,140,23
9,141,49
9,142,16
9,143,2
9,144,49
9,145,283
9,146,10
9,147,5
9,148,6
9,149,16
9,150,2
9,151,8
9,152,192
9,153,17
9,154,5
9,155,117
9,156,18
9,157,3
9,158,5
9,159,34
9,160,5
9,161,6
9,162,29
9,163,6
9,164,5
9,165,1
9,166,5
9,167,2
9,169,5
9,170,23
9,171,4
9,172,3
9,173,2
9,175,8
9,176,2
9,177,1
9,178,2
9,179,9
9,180,13
9,181,5
9,182,4
9,183,1
9,184,1
9,185,7
9,186,6
9,187,3
9,188,9
9,190,2
9,191,1
9,192,6
9,193,6
9,194,1
10,1,2
10,5,2
10,7,10
10,9,6
10,11,1
10,12,36
10,14,6
10,15,1
10,16,3
10,17,3
10,18,1
10,19,6
10,20,2
10,21,7
10,23,3
10,25,1
10,26,1
10,27,2
10,28,3
10,29,6
10,30,3
10,31,5
10,32,10
10,33,5
10,34,26
10,35,4
10,36,5
10,42,2
10,43,1
10,44,3
10,46,1
10,48,2
10,49,22
10,51,10
10,52,10
10,53,9
10,54,5
10,55,4
10,56,1
10,58,3
10,59,3
10,60,2
10,61,2
10,64,1
10,65,7
10,66,6
10,67,3
10,68,3
10,69,4
10,70,1
10,73,7
10,74,4
10,75,2
